===== sample12.csv =====
+1000,6.16
+600,5.79
+400,4.77
+50,4.66
+50,4.45
+25,4.32
+50,4.26
+200,3.87
+200,3.67
+200,3.54
+200,3.43
+200,3.35
+400,3.21
+200,3.06
+600,2.96

===== sample36.csv =====
Parameter,Value
Sample ID,36
Initial pH,7.20
Sample volume (mL),30

Acid (µL),pH
+200,7.19
+200,7.08
+200,6.87
+1000,6.62
+1000,6.39
+1000,6.18
+1000,5.85
+800,5.59
+800,5.04
+400,4.51
+25,4.46
+25,4.41
+25,4.36
+50,4.21
+100,4.05
+200,3.80
+200,3.63
+400,3.41
+400,3.26
+200,3.20
+400,3.10
+600,2.99
+1000,2.85

===== sample37.csv =====
Parameter,Value
Sample ID,37
Initial pH,5.73
Sample volume (mL),30

Acid (µL),pH
+200,5.61
+200,5.49
+200,5.34
+200,5.11
+50,5.05
+100,4.86
+50,4.77
+50,4.50
+100,4.24
+50,4.02
+50,3.92
+50,3.84
+50,3.78
+50,3.72
+100,3.63
+50,3.55
+50,3.47
+100,3.41
+100,3.36
+100,3.31
+100,3.27
+200,3.20
+200,3.13
+200,3.08

===== sample38.csv =====
Parameter,Value
Sample ID,38
Initial pH,5.65
Sample volume (mL),30

Acid (µL),pH
+200,5.53
+200,5.24
+400,4.59
+50,4.47
+50,4.33
+50,4.22
+50,4.10
+100,3.85
+100,3.72
+100,3.62
+200,3.47
+200,3.37
+400,3.20
+600,3.04

===== sampleD5.csv =====
Parameter,Value
Sample ID,D5
Initial pH,8.41
Notes,"It has a lot of headspace"
Sample volume (mL),30

Acid (µL),pH
+200,8.25
+1000,7.20
+1000,6.78
+1000,6.38
+1000,6.26
+500,6.16
+50,6.00
+50,5.84
+50,5.78
+50,5.72
+50,5.63
+200,5.53
+200,5.27
+100,5.17
+100,4.83
+50,4.74
+50,4.63
+50,4.52
+50,4.41
+50,4.36
+20,4.32
+20,4.27
+20,4.23
+20,4.16
+50,4.08
+50,4.00
+50,3.93
+50,3.87
+100,3.78
+200,3.63
+50,3.38
+500,3.23

===== sampleD4.csv =====
Parameter,Value
Sample ID,D4
Initial pH,7.82
Sample volume (mL),30

Acid (µL),pH
200,7.44
500,6.99
500,6.69
1500,6.22
500,5.95
200,5.85
200,5.70
200,5.58
200,5.26
50,4.76
20,4.62
20,4.58
20,4.52
20,4.44
20,4.39
50,4.33
50,4.25
20,4.22
20,4.17
20,4.13
20,4.08
50,4.03
50,3.95
100,3.82
100,3.72
200,3.57
500,3.33

===== sampleD3.csv =====
Parameter,Value
Sample ID,D3
Initial pH,8.15
Sample volume (mL),30

Acid (µL),pH
+200,4.62
+500,7.05
+500,6.75
+500,6.29
+700,6.22
+200,5.93
+200,5.81
+200,5.37
+200,5.19
+100,4.74
+20,4.66
+20,4.58
+20,4.52
+20,4.44
+20,4.19
+50,4.08
+50,3.98
+100,3.84
+100,3.83
+200,3.57
+500,3.32

===== sampleD4_2.csv =====
Parameter,Value
Sample ID,D4_2
Initial pH,8.09
Sample volume (mL),30

Acid (µL),pH
+200,7.85
+500,7.06
+500,6.78
+500,6.45
+500,6.17
+500,5.86
+200,5.49
+200,5.08
+20,4.65
+20,4.54
+20,4.27
+20,4.21
+20,4.16
+20,4.11
+50,4.02
+50,3.95
+100,3.82
+100,3.71
+200,3.62
+500,3.28

===== sampleD2.csv =====
Parameter,Value
Sample ID,D2
Initial pH,8.17
Sample volume (mL),30

Acid (µL),pH
500,7.21
500,6.85
500,6.57
500,6.29
500,6.00
500,5.58
500,5.08
100,4.78
50,4.60
50,4.43
20,4.35
20,4.29
20,4.23
50,4.06
50,3.97
100,3.83
200,3.64
200,3.50
500,3.28

===== sampleDecean7.csv =====
Parameter,Value
Sample ID,Decean7
Initial pH,8.16
Sample volume (mL),30

Acid (µL),pH
500,7.21
500,6.95
500,6.69
500,6.44
400,6.26
400,6.08
400,5.88
400,5.57
100,5.01
400,4.75
50,4.61
20,4.55
20,4.50
20,4.44
20,4.39
20,4.34
20,4.29
20,4.24
20,4.20
50,4.10
50,4.01
100,3.87
200,3.68
500,3.40
500,3.23

===== sampleDecean9.csv =====
Parameter,Value
Sample ID,Decean9
Initial pH,8.51
Sample volume (mL),30

Acid (µL),pH
500,6.82
200,6.60
200,6.38
200,6.12
200,5.82
200,5.36
50,5.14
50,4.90
25,4.78
25,4.65
25,4.55
20,4.24
20,4.19
50,3.98
800,3.74
200,3.58
200,3.47
600,3.24

===== sampleDecean11.csv =====
Parameter,Value
Sample ID,Decean11
Initial pH,8.54
Sample volume (mL),30

Acid (µL),pH
200,8.06
500,7.27
500,6.97
500,6.78
1000,6.39
500,6.19
500,6.01
500,5.76
200,5.37
500,5.27
200,5.16
50,4.96
50,4.61
50,4.55
20,4.50
20,4.44
20,4.37
25,4.31
25,4.25
25,4.19
50,4.09
50,4.01
200,3.76
200,3.60
400,3.39
400,3.25

===== sampleDecean15.csv =====
Parameter,Value
Sample ID,Decean15
Initial pH,7.40
Sample volume (mL),30

Acid (µL),pH
200,6.69
200,6.47
400,5.92
200,5.47
50,5.30
50,5.08
25,4.69
25,4.63
50,4.55
25,4.47
25,4.24
25,4.17
50,3.80
100,3.61
200,3.37
400,3.16
600,3.16

===== sample15_80ml.csv =====
Parameter,Value
Sample ID,15
Initial pH,8.66
Sample volume (mL),80

Acid (µL),pH
200,8.06
400,7.19
200,7.00
200,6.93
200,6.51
400,6.33
200,6.15
200,5.61
50,4.95
50,4.24
50,4.15
50,4.07
50,3.95
100,3.85
200,3.61
400,3.48
600,3.30

===== sample17.csv =====
Parameter,Value
Sample ID,17
Initial pH,7.25
Sample volume (mL),30

Acid (µL),pH
200,7.22
1000,7.03
1000,6.90
1000,6.76
1000,6.66
2000,6.62
2000,6.24
200,6.00
2000,5.68
1000,5.44
200,5.01
200,4.82
200,4.66
100,4.32
100,4.09
100,3.99
100,3.92
200,3.78
400,3.60
600,3.41
600,3.27

===== sample19.csv =====
Parameter,Value
Sample ID,19
Initial pH,7.56
Sample volume (mL),30

Acid (µL),pH
200,7.27
1000,6.63
1000,6.22
1000,5.98
600,5.56
600,5.02
200,4.67
100,4.47
50,4.28
50,4.20
50,4.01
100,3.91
200,3.76
600,3.48
600,3.33

===== sample21.csv =====
Parameter,Value
Sample ID,21
Initial pH,6.85
Sample volume (mL),30

Acid (µL),pH
2000,6.85
2000,6.65
2000,6.48
2000,6.30
3000,6.08
3000,5.74
2000,5.33
1000,4.91
100,4.38
50,4.22
20,4.16
20,4.07
200,3.84
200,3.51
600,3.36

===== sample23.csv =====
Parameter,Value
Sample ID,23
Initial pH,7.39
Sample volume (mL),30

Acid (µL),pH
200,7.35
2000,6.60
3000,6.35
3000,6.05
3000,5.62
2000,5.02
1000,4.65
100,4.53
100,4.43
